GeneID,Symbol,log2(fold change)(AD_females vs ctrl),-log10(Pvalue)(AD_females vs ctrl)
643,CXCR5,0.526,1.71
3090,HIC1,0.526,2.218
340544,MORF4L2-AS1,0.526,1.348
5939,RBMS2,0.525,1.338
79155,TNIP2,0.524,1.572
55214,P3H2,0.523,1.327
389333,PROB1,0.522,1.455
10156,RASA4,0.522,1.594
9679,FAM53B,0.522,1.374
8483,CILP,0.522,1.335
100271927,RASA4B,0.521,1.54
26147,PHF19,0.52,1.644
55274,PHF10,0.519,1.327
6522,SLC4A2,0.518,1.335
3993,LLGL2,0.518,1.315
84787,KMT5C,0.516,1.766
51317,PHF21A,0.515,2.352
429,ASCL1,0.515,1.361
113026,PLCD3,0.515,1.419
140467,ZNF358,0.515,1.327
10491,CRTAP,0.514,1.94
284119,CAVIN1,0.513,1.313
23194,FBXL7,0.512,1.69
8795,TNFRSF10B,0.512,1.577
27147,DENND2A,0.511,1.513
79724,ZNF768,0.511,1.9
339105,PRSS53,0.51,1.902
2619,GAS1,0.507,1.485
8495,PPFIBP2,0.507,1.304
122416,ANKRD9,0.507,1.749
23302,WSCD1,0.507,1.65
3636,INPPL1,0.506,1.322
26099,SZRD1,0.504,1.636
130872,AHSA2P,0.504,1.892
10608,MXD4,0.504,1.487
9704,DHX34,0.504,2.652
84662,GLIS2,0.503,1.333
22808,MRAS,0.498,1.5
23593,HEBP2,0.498,1.525
2159,F10,0.497,1.311
51259,TMEM216,0.495,1.428
8312,AXIN1,0.495,2.256
81844,TRIM56,0.494,1.47
100499484,SUGT1P4-STRA6LP,0.494,1.829
65010,SLC26A6,0.493,1.564
56129,PCDHB7,0.491,1.383
10174,SORBS3,0.49,1.339
619279,ZNF704,0.49,1.65
57522,SRGAP1,0.49,1.586
8501,SLC43A1,0.489,1.766
105378688,LINC02918,0.488,1.324
2178,FANCE,0.486,2.139
5364,PLXNB1,0.485,1.617
105369340,PPP1R14B-AS1,0.485,1.609
55367,PIDD1,0.484,1.372
6650,CAPN15,0.483,1.898
55841,WWC3,0.482,1.766
374955,SPATA21,0.481,1.487
79778,MICALL2,0.481,1.687
649,BMP1,0.481,1.728
23417,MLYCD,0.481,1.938
399664,MEX3D,0.479,1.663
10180,RBM6,0.477,1.398
57593,EBF4,0.477,1.778
114991,ZNF618,0.475,1.34
6901,TAFAZZIN,0.475,1.391
105378567,JAKMIP3-AS1,0.474,1.419
7423,VEGFB,0.474,1.32
91862,MARVELD3,0.473,1.341
6929,TCF3,0.473,1.812
90353,CTU1,0.473,1.445
3656,IRAK2,0.472,1.454
4092,SMAD7,0.472,1.717
10603,SH2B2,0.471,1.501
6666,SOX12,0.471,2.154
51547,SIRT7,0.468,1.487
5998,RGS3,0.465,1.586
64772,ENGASE,0.464,1.316
9924,PAN2,0.462,1.403
100130283,LOC100130283,0.461,1.787
79990,PLEKHH3,0.461,1.862
9731,CEP104,0.46,1.959
3065,HDAC1,0.459,1.327
91355,LRP5L,0.459,1.528
9873,FCHSD2,0.458,1.504
23338,JADE2,0.456,1.52
221527,ZBTB12,0.455,1.718
23313,KIAA0930,0.454,1.726
9911,TMCC2,0.453,1.68
220972,MARCHF8,0.453,1.486
7579,ZSCAN20,0.452,1.557
2057,EPOR,0.452,1.614
129303,TMEM150A,0.449,1.421
7702,ZNF143,0.449,1.68
116985,ARAP1,0.449,1.58
284004,HEXD,0.449,1.663
7994,KAT6A,0.448,1.359
3292,HSD17B1,0.448,1.372
79813,EHMT1,0.446,1.92
400506,KNOP1,0.446,1.706
23135,KDM6B,0.446,1.766
28964,GIT1,0.446,1.706
101927559,CEBPB-AS1,0.446,1.65
9903,KLHL21,0.443,1.934
3551,IKBKB,0.443,1.663
4034,LRCH4,0.442,1.649
23524,SRRM2,0.441,1.471
285590,SH3PXD2B,0.44,1.363
54753,ZNF853,0.44,1.898
5253,PHF2,0.44,1.427
11099,PTPN21,0.44,1.54
55544,RBM38,0.44,1.53
101752400,CAPN10-DT,0.439,1.477
6667,SP1,0.439,1.313
100507373,ADGRL1-AS1,0.439,1.405
8940,TOP3B,0.439,1.542
7461,CLIP2,0.438,2.068
23513,SCRIB,0.438,1.594
144608,C12orf60,0.438,1.327
100506235,LOC100506235,0.437,1.432
6907,TBL1X,0.435,1.349
89849,ATG16L2,0.434,1.934
105371925,LOC105371925,0.434,1.556
9013,TAF1C,0.433,1.78
